Timestamp,Type
0.02031746,k
0.779591836,sb
0.946938775,ho
1.134693877,hc
1.31632653,k
1.495918367,ho
1.629591836,br
1.825668934,k
1.967891156,br
2.192834467,sb
2.336734693,ho
2.544897959,hc
2.94893424,k
3.723174603,sb
3.887891156,ho
4.069387755,hc
4.260861678,k
4.432108843,br
4.583038548,br
4.79201814,k
4.951020408,ho
5.180226757,sb
5.318412698,ho
5.523446712,hc
5.894965986,k
6.661950113,sb
6.834693877,ho
7.030612244,hc
7.223582766,k
7.343310657,br
7.5261678,br
7.751111111,k
8.100589569,sb
8.273469387,ho
8.445918367,hc
8.838095238,k
9.592857142,sb
9.735714285,ho
9.951020408,hc
10.14204082,k
10.25306122,br
10.46122449,br
10.68117914,k
10.8255102,ho
11.04326531,sb
11.22975057,hc
11.38648526,ho
11.56326531,hc
11.77251701,k
12.6153288,sk
12.8,ho
13.12755102,k
13.25714286,br
13.42857143,br
13.62959184,k
13.98893424,sk
14.68662132,k
15.44598639,sk
15.62412698,ho
15.74489796,hc
15.97968254,k
16.13469388,br
16.28571429,br
16.510839,k
16.65306122,br
16.89142857,sk
17.63664399,k
18.36698413,sk
18.52244898,br
18.67755102,br
18.88979592,k
19.0244898,br
19.1755102,br
19.40408163,k
19.54285714,br
19.77573696,sk
20.5293424,k
21.26965986,sk
21.41632653,br
21.5755102,br
21.79047619,k
21.93877551,br
22.12244898,br
22.32675737,k
22.46122449,br
22.66823129,sk
23.39120181,k
23.74693878,hc
24.0877551,sb
24.42857143,hc
24.63637188,?
24.80816327,hc
25.15882086,k
25.50929705,sb
25.86848073,hc
26.18485261,k
26.53918367,hc
26.85795918,sb
27.20716553,hc
27.39972789,?
27.5723356,hc
27.9292517,k
28.29619048,sb
28.63165533,hc
28.98648526,k
29.33882086,hc
29.69600907,sb
30.05070295,hc
30.21836735,k
30.39056689,hc
30.74081633,k
31.10081633,sb
31.45451247,hc
31.79609977,k
32.15238095,hc
32.510839,sb
32.84825397,hc
33.0245805,t
33.21106576,hc
33.54557823,k
33.91782313,sb
34.16671202,sb
34.42068027,sb
34.64707483,k
35.39791383,sb
35.53877551,ho
35.72040816,hc
35.92780045,k
36.06530612,br
36.25714286,br
36.4676644,k
36.6122449,br
36.80761905,sb
36.98571429,hc
37.12857143,hc
37.50603175,k
38.23061224,sb
38.42244898,ho
38.58979592,hc
38.78086168,k
38.90204082,br
39.08571429,br
39.29718821,k
39.43265306,br
39.62040816,sk
39.79609977,ho
39.99201814,hc
40.37079365,k
41.1000907,sb
41.2744898,ho
41.46428571,hc
41.63410431,k
41.77142857,br
41.93061224,br
42.1478458,k
42.28163265,br
42.48419501,sb
42.65795918,ho
42.84662132,hc
43.21020408,k
43.9306576,sb
44.13219955,ho
44.290839,hc
44.48725624,k
44.61632653,br
44.79591837,br
45.02204082,k
45.14285714,br
45.39138322,sk
