Timestamp,Type
0.015963718,br
0.392857142,k
0.585419501,hc
0.75802721,hc
0.929138321,hc
1.102494331,sb
1.307777777,hc
1.460181405,hc
1.615578231,hc
1.791179138,hc
1.956303854,hc
2.156349206,k
2.332199546,hc
2.509795918,sb
2.714331065,hc
2.88170068,hc
3.050566893,hc
3.226417233,k
3.403015873,hc
3.559160997,hc
3.727278911,hc
3.904126984,sb
4.095941043,hc
4.240861678,hc
4.396258503,hc
4.572857142,hc
4.735238095,hc
4.926054421,k
5.081950113,k
5.248571428,sb
5.444875283,hc
5.604716553,hc
5.765147392,hc
5.942743764,k
6.112607709,hc
6.287210884,hc
6.450839002,hc
6.630430839,sb
6.83047619,hc
6.971791383,hc
7.147755102,hc
7.312630385,hc
7.481746031,hc
7.657845804,k
7.830453514,hc
7.995827664,sb
8.170181405,hc
8.329818594,hc
8.49494331,hc
8.669047619,k
8.809977324,hc
8.902267573,k
8.980589569,k
9.163174603,k
9.318571428,sb
9.507891156,hc
9.649070294,hc
9.825419501,k
9.981814058,sk
10.1355102,sb
10.31630385,k
10.47818594,sk
10.62585034,sb
10.78473923,sb
10.95002268,sb
11.10965986,sb
11.298322,k
11.46249433,hc
11.64263039,hc
11.81678005,sk
11.96861678,sb
12.16489796,hc
12.30621315,hc
12.48181406,hc
12.64,hc
12.80907029,hc
13.00027211,k
13.16825397,sk
13.33362812,sb
13.51564626,hc
13.67029478,hc
13.84281179,hc
14.01696145,k
14.1785034,hc
14.35863946,hc
14.51646259,sk
14.68471655,sb
14.8738322,hc
15.0275737,hc
15.19492063,hc
15.35501134,hc
15.52879819,hc
15.68888889,k
15.84181406,hc
15.92362812,sk
16.02340136,sb
16.18394558,hc
16.28544218,sk
16.37342404,sb
16.54829932,k
16.72888889,k
16.89251701,ho
17.06004535,hc
17.22748299,k
17.40408163,sb
17.59882086,hc
17.74013605,hc
17.91011338,hc
18.0677551,hc
18.24462585,hc
18.41269841,k
18.58603175,k
18.7447619,sb
18.93405896,hc
18.94693878,k
19.08707483,sk
19.25405896,sk
19.42793651,k
19.65861678,k
19.76689342,k
19.9452381,k
20.09365079,sb
20.28684807,k
20.43095238,hc
20.60362812,k
20.69897959,ho
20.91609977,sb
21.09444444,k
21.23151927,sb
21.40056689,sb
21.57063492,k
21.72086168,hc
21.87868481,sb
22.05011338,k
22.2170068,ho
22.57902494,hc
22.73764172,sb
22.91077098,k
23.05521542,hc
23.23156463,k
23.38979592,hc
23.53129252,sb
23.71258503,k
23.81247166,k
23.88265306,sk
24.04138322,sb
24.16882086,sb
24.36054422,hc
24.5170068,hc
24.68922902,k
24.84727891,ho
25.0276644,hc
25.12755102,ho
25.36126984,sb
25.52725624,hc
25.67528345,hc
25.83709751,k
26.02122449,sk
26.16453515,sb
26.3444898,k
26.50031746,hc
26.64417234,sb
26.80725624,sb
26.98213152,hc
27.13977324,hc
27.30793651,k
27.46376417,ho
27.64190476,hc
27.8029932,hc
27.96589569,sb
28.13569161,hc
28.28480726,hc
28.44680272,k
28.61732426,hc
28.7568254,sb
28.94040816,k
29.08952381,hc
29.24371882,sb
29.41097506,sb
29.57351474,sb
29.73170068,sb
29.89188209,k
