Timestamp,Type
0.731065759,v
0.833741496,v
1.091836734,v
1.159546485,v
1.846712018,k
2.237823129,v
2.485623582,sk
2.790748299,v
2.991836734,ho
3.98802721,v
4.211519274,v
4.38494331,v
4.536598639,v
4.750294784,v
4.980680272,v
5.142131519,v
5.343492063,v
5.506031746,v
5.588299319,v
5.773061224,v
6.538594104,ho
6.78494331,hc
7.010249433,ho
7.246802721,hc
7.480453514,ho
7.714285714,hc
7.945578231,ho
8.171428571,hc
8.418684807,ho
8.668299319,hc
8.858412698,ho
9.085714285,sk
9.330430839,ho
9.593832199,hc
9.78648526,ho
10.04770975,sk
10.27954649,ho
10.52698413,hc
10.72181406,ho
10.97723356,sk
11.21741497,ho
11.47464853,hc
11.69124717,ho
11.93723356,sk
12.15165533,ho
12.26063492,k
12.3907483,k
12.609161,hc
12.82793651,sk
13.06430839,ho
13.28571429,hc
13.48585034,ho
13.73777778,sk
13.98272109,ho
14.08036281,k
14.20571429,k
14.45589569,hc
14.68587302,sk
14.91882086,ho
15.1393424,hc
15.33689342,ho
15.60702948,sk
15.81569161,ho
15.92081633,k
16.06673469,k
16.2046712,k
16.31442177,hc
16.56510204,sk
16.7960771,ho
17.02653061,hc
17.23265306,ho
17.49199546,sk
17.72857143,ho
17.8385941,k
17.94920635,k
18.0724263,k
18.17142857,ho
18.40891156,sk
18.65111111,ho
18.88367347,hc
19.0993424,ho
19.36548753,sk
19.57653061,ho
19.80873016,k
19.94741497,k
20.04285714,hc
20.08834467,k
20.19884354,k
20.31907029,sk
20.47321995,hc
20.59918367,hc
20.73462585,sk
20.88777778,ho
21.0077551,k
21.13546485,k
21.26222222,hc
21.3877551,sk
21.53505669,hc
21.66226757,hc
21.8146712,sk
21.97188209,hc
22.09378685,s
22.188322,k
22.2461678,k
22.34795918,k
22.46269841,sk
22.61043084,hc
22.74106576,hc
22.89721088,sk
23.01678005,hc
23.17907029,hc
23.19777778,k
23.26911565,k
23.32798186,k
23.42176871,k
23.54823129,sk
23.66938776,hc
23.79609977,ho
23.94702948,hc
23.96653061,k
24.07752834,k
24.21197279,k
24.30226757,k
24.44145125,k
24.56092971,sk
24.70816327,hc
24.83061224,hc
24.97997732,sk
25.12253968,hc
25.24795918,hc
25.26439909,k
25.33741497,k
25.39403628,k
25.49206349,k
25.60156463,sk
25.74873016,hc
25.87693878,hc
26.0375737,sk
26.19820862,hc
26.31836735,s
26.44814059,k
26.5845805,k
26.70331066,sk
26.85460317,hc
26.97723356,hc
27.14181406,sk
27.27950113,hc
27.40870748,k
27.53591837,k
27.67310658,k
27.81179138,sk
27.95222222,hc
28.0462585,hc
28.18494331,hc
28.21163265,k
28.34034014,k
28.53963719,s
28.63866213,hc
28.76437642,hc
28.91428571,sk
29.0622449,hc
29.17843537,hc
29.32609977,sk
29.61070295,sk
29.75786848,k
29.8838322,hc
30.01229025,sk
30.16020408,hc
30.27959184,hc
30.41462585,k
30.5475737,k
30.84165533,hc
30.95988662,hc
31.08709751,sk
31.2422449,hc
31.35897959,hc
31.51836735,sk
31.79591837,sk
31.9361678,hc
32.06287982,hc
32.19707483,sk
32.34,hc
32.44897959,hc
32.5924263,hc
32.6293424,k
32.74882086,k
33.0245805,hc
33.14068027,hc
33.27811791,sk
33.41804989,hc
33.54387755,hc
33.70015873,sk
33.9855102,sk
34.13591837,hc
34.26462585,hc
34.40231293,sk
34.56020408,hc
34.68192744,hc
34.81734694,k
34.9468254,hc
35.23217687,hc
35.37285714,hc
35.52102041,sk
35.80517007,hc
35.98721088,sk
36.28328798,sk
36.43219955,hc
36.57088435,hc
36.7377551,sk
36.87444444,hc
37.02260771,hc
37.16278912,hc
37.30646259,sk
37.44870748,ho
